id,name,founded,location
1,"Castle Rock Entertainment",1987,"Culver City, California, USA"
2,"Paramount Pictures",1912,"Hollywood, Los Angeles, California, USA"
3,"Warner Bros. Pictures",1923,"Burbank, California, USA"
4,"Live Entertainment",1985,"Van Nuys, California, USA"
5,"Studio Ghibli",1985,"Koganei, Tokyo, Japan"
6,"DreamWorks Pictures",1984,"Universal City, California, USA"
7,"Miramax Films",1979,"Santa Monica, California, USA"
8,"Bayerischer Rundfunk",1922,"Munich, Germany"
9,"New Line Cinema",1967,"Burbank, California, USA"
10,"Bad Hat Harry Productions",1994,"Santa Monica, California, USA"
11,"Anonymous Content",1999,"Culver City, California, USA"
12,"Radiant Film",2006,"Hollywood, Los Angeles, California, USA"
13,"American Zoetrope",1969,"San Francisco, California, USA"
14,"Icon Entertainment International",1989,"Los Angeles, California, USA"
15,Cristaldifilm,1950,"Rome, Italy"
16,"UGC-Fox Distribution",1989,"Paris, France"
17,Lucasfilm,1971,"San Francisco, California, USA"
18,"Shamley Productions",1955,"Hollywood, Los Angeles, California, USA"
19,"20th Century Fox",1935,"Century City, Los Angeles, California, USA"
20,"Strong Heart/Demme Production",1987,"New York City, New York, USA"
21,"Focus Features",2002,"Universal City, California, USA"
22,"Artisan Entertainment",1983,"Santa Monica, California, USA"
23,"The Mirisch Corporation",1957,"Beverly Hills, California, USA"
24,"Universal Pictures",1912,"Universal City, California, USA"
25,Gaumont,1895,"Neuilly-sur-Seine, France"
26,"Walt Disney Pictures ",1923,"Burbank, California, USA"
